;Andromeda - Taklampa;Pris 26;Nytt pris
39364-01S-000-G;Vit RAL 9016 struktur, Brunt läder;4047;
39364-15S-000-G;Svart strukturlack RAL 9005, Brunt läder;4047;
;;;
;Talk - Bordslampa;;
38364-01S-000-G;Vit RAL 9016 struktur, Brunt läder;3685;
38364-15S-000-G;Svart strukturlack RAL 9005, Brunt läder;3685;
;;;
;Talk - Vägglampa;;
;Utvändig kabel;;
30364-01S-000-G;Vit RAL 9016 struktur, Brunt läder;3517;
30364-15S-000-G;Svart strukturlack RAL 9005, Brunt läder;3517;
;;;
;Fast montage;;
30364F01S-000-G;Vit RAL 9016, Brunt läder;3517;
30364F15S-000-G;Svart strukturlack RAL 9005, Brunt läder;3517;
;;;
;Tell - Taklampa;;
35077-01S-000;Vit strukturlack RAL 9016, Transparent kabel;7802;
35077-15S-000;Svart strukturlack RAL 9005, Transparent kabel;7802;
35077-69-000;Rå koppar, Transparent kabel;7315;
35077-72-000;Rå mässing, Transparent kabel;7719;
35077-25-000;Borstad mässing, Transparent kabel;8880;
35077-68-000;Borstad koppar, Transparent kabel;8500;
34624-01S;Skärm, vit strukturlack;2666;
34624-15S;Skärm, svart strukturlack;2666;
34624-69;Skärm, rå koppar;2842;
34624-72;Skärm, rå mässing;3056;
34624-25;Skärm borstad mässing;3276;
34624-68;Skärm borstad koppar;3063;
;;;
;Terrace - Taklampa;;
;Stor;;
35003-72-000;Rå mässing;29823;
35003-69-000;Rå koppar;29823;
50331;LED E27 2700K 680lm CRI>80;270;
;;;
;Liten;;
35006-69-000;Rå koppar;17900;
35006-72-000;Rå mässing;17900;
;;;
;Tratten - Utomhuslampa · Vägglampa;;
;Stor med fast LED;;
J30200F99-L;Rå koppar;5292;
J30200F71-L;Varmförzinkat stål;4527;
J30200F72-L;Rå mässing;5727;
;;;
;Stor E 27;;
J30200F99;Rå koppar;4770;
J30200F71;Varmförzinkat stål;3971;
J30200F72;Rå mässing;5224;
50300;LED E27 2700K 806lm CRI >80;134;
;;;
;Liten fast LED;;
J30201F69-N;Rå koppar;4067;
J30201F70-N;Förnicklad mässing;5486;
J30201F72-N;Rå mässing;4694;
;;;
;Tratten - Taklampa;;
;Stor;;
J35200-69-000;Rå koppar;3717;
J35200-72-000;Rå mässing;3998;
;;;
;Liten;;
J35201-69-000;Rå koppar;3047;
J35201-72-000;Rå mässing;3501;
J35201-70-000;Förnicklad mässing;3970;
;;;
;Vinge - Bordslampa;;
38860-01S-019-L;Vit strukturlack RAL 9016, Opalglas;8580;
38860-06-019-L;Röd RAL 2002 Blod orange, Opalglas;8580;
38860-15S-019-L;Svart strukturlack RAL 9005, Opalglas;9595;
50037;Opalglas (reserv);2339;
;;;
;Visir - Bordslampa;;
38056-69-000-N;Rå koppar;4460;
38056-72-000-N;Rå mässing;4538;
R1010;Grenkontakt 6-vägs;265;
50042;Glascylinder (reserv);452;
R1009;Laddare 18W med USB-C kabel;302;
;;;
;Visir - Vägglampa;;
;Fast montage;;
30056F01-000-N;Vit RAL 9016;2705;
30056F15-000-N;Svart RAL 9005;2705;
30056F69-000-N;Rå koppar;2999;
30056F72-000-N;Rå mässing;3080;
;;;
;Utvändig kabel;;
30056-01-000-N;Vit RAL 9016;2705;
30056-15-000-N;Svart RAL 9005;2705;
30056-69-000-N;Rå koppar;2999;
30056-72-000-N;Rå mässing;3080;
;;;
;Visir - Bordslampa;;
;Visir Ambience;;
38057-72-000-N;Rå mässing;4538;
38057-69-000-N;Rå koppar;4460;
R1009;Laddare 18W med USB-C kabel;302;
50042-2;Glascylinder (reserv);452;
R1010;Grenkontakt 6-vägs;265;
;;;
;Volver - Taklampa;;
;Stor;;
35070-25-019;Borstad mässing;7332;
35070-68-019;Borstad koppar;7228;
35070-02-019;Varmgrå RAL 7032;7020;
35070-06-019;Oxblod RAL 8015;7020;
;;;
;Liten;;
35071-25-019;Borstad mässing;4982;
35071-68-019;Borstad koppar;4878;
35071-02-019;Varmgrå RAL 7032;4670;
35071-06-019;Oxblod RAL 8015;4670;
