;Andromeda - Taklampa;Pris 26;Nytt pris
P264;Krok C-formad vit struktur L=300;335;
P264-15S-300;Krok C-formad svart struktur L=300;335;
P264-69-300;Krok C-formad Rå koppar L=300;515;
P264-72-300;Krok C-formad Rå mässing L=300;619;
;;;
;6;;
36031-01S-000;Vit strukturlack RAL 9016;17138;
36031-15S-000;Svart strukturlack RAL 9005;17138;
36031-55-000;Rå stål;17994;
36031-69-000;Rå koppar;19213;
36031-70-000;Förnicklad mässing;24422;
36031-72-000;Rå mässing;20885;
50339;LED E14 2700 K 350 lm CRI>90;157;
50282-L;LED E14 2700K 470lm CRI >90;115;
P264;Krok C-formad vit struktur L=300;335;
P264-15S-300;Krok C-formad svart struktur L=300;335;
P264-69-300;Krok C-formad Rå koppar L=300;515;
P264-72-300;Krok C-formad Rå mässing L=300;619;
;;;
;16;;
P36-82;Vit strukturlack RAL 9016;101402;
P36-380;Svart strukturlack RAL 9005;101402;
P36-432;Rå stål;102336;
P36-14;Rå koppar;105922;
P36-227;Rå mässing;112662;
50339;LED E14 2700 K 350 lm CRI>90;157;
50282-L;LED E14 2700K 470lm CRI >90;115;
;;;
;Lean - Golvlampa;;
39372-15S-000;Svart strukturlack RAL 9005, Rå mässing;5200;
50300;LED E27 2700K 806lm CRI >80;134;
;;;
;Libreria - Bordslampa;;
38630-01S-019;Vit strukturlack RAL 9016, Opalglas;5892;
38630-15S-019;Svart strukturlack RAL 9005, Opalglas;5892;
38630-06S-019;Röd struktur RAL 3005, Opalglas;5892;
38630-10S-019;Blå struktur RAL 5002, Opalglas;5892;
50323;LED E27 2700K 250lm CRI >80;120;
50040-150-1;Glasskärm opalvit Ø150 mm (reserv);547;
;;;
;Libreria - Golvlampa;;
39630-01S-019;Vit strukturlack RAL 9016, Opalglas;9747;
39630-15S-019;Svart strukturlack RAL 9005, Opalglas;9747;
39630-06S-019;Röd struktur RAL 3005, Opalglas;9747;
39630-10S-019;Blå struktur RAL 5002, Opalglas;9747;
50302;LED matt E27 2700K 470lm CRI >80;121;
50040-300-1;Glasskärm opalvit Ø300 mm (reserv);937;
;;;
;Minipoint - Golvlampa;;
GX224-01-G;Vit RAL 9016 / Krom;4492;
GX224-15-G;Svart RAL 9005 / Krom;4492;
GX224-20-G;Krom;5398;
GX224-25-G;Mattborstad mässing;6419;
;;;
;Minipoint - Bordslampa;;
BX225-01-G;Vit RAL 9016;5481;
BX225-15-G;Svart RAL 9005;5481;
BX225-20-G;Krom;6593;
;;;
;Minipoint - Golvlampa;;
GX225-01-G;Vit RAL 9016;5801;
GX225-15-G;Svart RAL 9005;5801;
GX225-20-G;Krom;7155;
;;;
;Moon - Badrumslampa · Vägglampa;;
;Stor;;
30978F25-000;Borstad mässing;5760;
;;;
;Liten;;
30977F25-000;Borstad mässing;5359;
;;;
;Mushroom - Golvlampa;;
39950-01-000-N;Vit RAL 9010;6400;
39950-06-000-N;Röd RAL 2002 Blod orange;6985;
